device_id,description,jci_name,name,ip_addr,max_apdu,uuid,vendor_id
641,Located In Room 3502,,NAE-141,172.31.208.202,1024,,5
644,Located In Room 4502,,NAE-144,172.31.208.179,1024,,5
623,Located in Mech. Room B323,,NAE-123,172.31.208.254,1024,,5
620,Located In Mech. Room B565,,NAE-120,172.31.208.251,1024,,5
700,Located 4th Floor Elect. Room,,NAE-200,172.31.208.133,1024,,5
505,EBU 3B Building / located in Elec Room 1203,,NAE-05,172.31.208.131,1024,,5
651,Cal IT Building,,NAE-151,172.31.208.162,1024,,5
645,Located In Room 5502 ,,NAE-145,172.31.208.183,1024,,5
642,Located In Room 3502,,NAE-142,172.31.208.170,1024,,5
574,SME 4th Floor & Roof,,NAE-74,172.31.208.235,1024,,5
770,,,NAE-270,172.31.208.140,1024,,5
621,Located In Mech. Room B115,,NAE-121,172.31.208.252,1024,,5
643,Located In Room 3117 ,,NAE-143,172.31.208.177,1024,,5
523,,,NAE-23,172.31.208.241,1024,,5
640,Located In Room 2502,,NAE-140,172.31.208.163,1024,,5
639,Located In Room 2502,,NAE-139,172.31.208.143,1024,,5
563,"Floor 4, Rm: 423, South Wing",,NAE-63,172.31.208.185,1024,,5
572,SME Basement & 1st Floor,,NAE-72,172.31.208.233,1024,,5
573,SME 2nd & 3rd Floor,,NAE-73,172.31.208.234,1024,,5
622,Located in Mech. Room B323,,NAE-122,172.31.208.253,1024,,5
555,,,NAE-55,172.31.208.229,1024,,5
561,,,NAE-61,172.31.208.181,1024,,5
562,"Floor 1, Rm: 121 South Wing",,NAE-62,172.31.208.182,1024,,5
999,,,NAE-20,172.31.208.178,1024,,5
575,,,NAE-75,172.31.208.232,1024,,5
646,Location In Room 6502,,NAE-146,172.31.208.184,1024,,5
637,Location In Room 1502,,NAE-137,172.31.208.141,1024,,5
504,Cal IT Building,,NAE-04,172.31.208.167,1024,,5
506,EBU 3B Building,,NAE-06,172.31.208.130,1024,,5
502,Cal IT Building,,NAE-02,172.31.208.165,1024,,5
638,Located In Room 1502,,NAE-138,172.31.208.142,1024,,5
531,Located in Mech. RM-(M)1000,,NAE-31,172.31.208.192,1024,,5
553,Literature Building Roof NAE,,NAE-53,172.31.208.228,1024,,5
501,Mulitpurpose Building,,NAE-01,172.31.208.169,1024,,5
694,Located in Mech. Room,,NAE-194,172.31.208.187,1024,,5
650,Location In Room 6502,,NAE-150,172.31.208.164,1024,,5
603,,,NAE-103,172.31.208.240,1024,,5
743,Located in RM-1243,,NAE-243,172.31.208.150,1024,,5
552,Serving CHW pumps for Literature Bldg,,NAE-52,172.31.208.227,1024,urn:uuid:251ebb6a-9ed4-4b9b-9288-d790990804e2,5
537,,,NAE-37,172.31.208.218,1024,,5
503,Cal IT Building,,NAE-03,172.31.208.166,1024,,5
