uuid,device_ref,instance,object_type,description,jci_name,name,unit
urn:uuid:562751ab-752c-4d72-bfcb-9ceb0b464e05,620,3000425,analogInput,Zone Temperature,EBU1.EBASEMENT.RM-B912.VAV-10.ZN-T,NAE-120/N2-1.AH4-VAV-10.ZN-T,degreesFahrenheit
urn:uuid:4ef54e5c-0eed-4c15-995e-dc8dfeecaa2c,620,3000426,analogInput,Warm Cool Adjust,EBU1.EBASEMENT.RM-B912.VAV-10.WC-ADJ,NAE-120/N2-1.AH4-VAV-10.WC-ADJ,degreesFahrenheit
urn:uuid:993ae757-741d-43b0-b934-f62c7408e48a,620,3000427,analogInput,Actual Cooling Setpoint,EBU1.EBASEMENT.RM-B912.VAV-10.ACTCLG-SP,NAE-120/N2-1.AH4-VAV-10.ACTCLG-SP,degreesFahrenheit
urn:uuid:48f36db2-4293-46cd-9c83-725f7fdfc78e,620,3000428,analogInput,Actual Heating Setpoint,EBU1.EBASEMENT.RM-B912.VAV-10.ACTHTG-SP,NAE-120/N2-1.AH4-VAV-10.ACTHTG-SP,degreesFahrenheit
urn:uuid:94939230-1ce1-42a8-a12e-847ff9c9afed,620,3000621,analogInput,Zone Temperature,EBU1.E1STFLR.RM-1718.VAV-25.ZN-T,NAE-120/N2-1.AH7-VAV-25.ZN-T,degreesFahrenheit
urn:uuid:9a9ef5ce-b350-486c-bcb7-0e3dc8ad94df,620,3000622,analogInput,Warm Cool Adjust,EBU1.E1STFLR.RM-1718.VAV-25.WC-ADJ,NAE-120/N2-1.AH7-VAV-25.WC-ADJ,degreesFahrenheit
urn:uuid:3021162f-b49e-43eb-bca9-87b3631433a1,620,3000623,analogInput,Actual Cooling Setpoint,EBU1.E1STFLR.RM-1718.VAV-25.ACTCLG-SP,NAE-120/N2-1.AH7-VAV-25.ACTCLG-SP,degreesFahrenheit
urn:uuid:50d6b0be-8a5c-4b9d-afb6-e4f442e056c7,620,3000624,analogInput,Actual Heating Setpoint,EBU1.E1STFLR.RM-1718.VAV-25.ACTHTG-SP,NAE-120/N2-1.AH7-VAV-25.ACTHTG-SP,degreesFahrenheit
urn:uuid:2325304a-3db7-4374-abb9-909190b08fe7,620,3000649,analogInput,Zone Temperature,EBU1.E1STFLR.EHALL.VAV-27.ZN-T,NAE-120/N2-1.AH22-VAV-27.ZN-T,degreesFahrenheit
urn:uuid:3b59d59b-2c36-45a6-8a75-d725db646769,620,3000650,analogInput,Warm Cool Adjust,EBU1.E1STFLR.EHALL.VAV-27.WC-ADJ,NAE-120/N2-1.AH22-VAV-27.WC-ADJ,degreesFahrenheit
urn:uuid:c208d597-fd89-4f4e-8417-91508925833d,620,3000651,analogInput,Actual Cooling Setpoint,EBU1.E1STFLR.EHALL.VAV-27.ACTCLG-SP,NAE-120/N2-1.AH22-VAV-27.ACTCLG-SP,degreesFahrenheit
urn:uuid:41589035-fac2-41e0-93e2-3393ea2d10a1,620,3000652,analogInput,Actual Heating Setpoint,EBU1.E1STFLR.EHALL.VAV-27.ACTHTG-SP,NAE-120/N2-1.AH22-VAV-27.ACTHTG-SP,degreesFahrenheit
urn:uuid:af14cf2b-a6f7-494e-acd4-ea89c56b9991,620,3000663,analogInput,Zone Temperature,EBU1.E1STFLR.RM-1712.VAV-28.ZN-T,NAE-120/N2-1.AH7-VAV-28.ZN-T,degreesFahrenheit
urn:uuid:5a17f447-9068-4cea-97db-1330427cfdf2,620,3000664,analogInput,Warm Cool Adjust,EBU1.E1STFLR.RM-1712.VAV-28.WC-ADJ,NAE-120/N2-1.AH7-VAV-28.WC-ADJ,degreesFahrenheit
urn:uuid:82dee3b6-8f12-4ff3-9300-ccac347d9156,620,3000665,analogInput,Actual Cooling Setpoint,EBU1.E1STFLR.RM-1712.VAV-28.ACTCLG-SP,NAE-120/N2-1.AH7-VAV-28.ACTCLG-SP,degreesFahrenheit
urn:uuid:41d6d424-79a3-4e82-b1b0-62b15d88d635,620,3000666,analogInput,Actual Heating Setpoint,EBU1.E1STFLR.RM-1712.VAV-28.ACTHTG-SP,NAE-120/N2-1.AH7-VAV-28.ACTHTG-SP,degreesFahrenheit
urn:uuid:b8960b50-a91d-4952-9580-69875f5a0678,620,3000677,analogInput,Zone Temperature,EBU1.E1STFLR.RM-1511.VAV-29.ZN-T,NAE-120/N2-1.AH7-VAV-29.ZN-T,degreesFahrenheit
urn:uuid:af24ccfb-f8b4-4cea-bb91-8b03a6607835,620,3000678,analogInput,Warm Cool Adjust,EBU1.E1STFLR.RM-1511.VAV-29.WC-ADJ,NAE-120/N2-1.AH7-VAV-29.WC-ADJ,degreesFahrenheit
urn:uuid:011f7986-3a47-4782-9312-5fb017fe203c,620,3000679,analogInput,Actual Cooling Setpoint,EBU1.E1STFLR.RM-1511.VAV-29.ACTCLG-SP,NAE-120/N2-1.AH7-VAV-29.ACTCLG-SP,degreesFahrenheit
urn:uuid:3e5f9ca5-27d7-4767-ad09-c4150d55d667,620,3000680,analogInput,Actual Heating Setpoint,EBU1.E1STFLR.RM-1511.VAV-29.ACTHTG-SP,NAE-120/N2-1.AH7-VAV-29.ACTHTG-SP,degreesFahrenheit
urn:uuid:7a67ca9e-f52c-4bfc-b4a4-a8f825c2f848,620,3000705,analogInput,Zone Temperature,EBU1.E1STFLR.SCORRIDOR.VAV-32.ZN-T,NAE-120/N2-1.AH22-VAV-32.ZN-T,degreesFahrenheit
urn:uuid:d8e0271f-e4f6-46b4-b143-58784849f68b,620,3000706,analogInput,Warm Cool Adjust,EBU1.E1STFLR.SCORRIDOR.VAV-32.WC-ADJ,NAE-120/N2-1.AH22-VAV-32.WC-ADJ,degreesFahrenheit
urn:uuid:12c6344f-0887-45dd-9329-41c666e15fb2,620,3000707,analogInput,Actual Cooling Setpoint,EBU1.E1STFLR.SCORRIDOR.VAV-32.ACTCLG-SP,NAE-120/N2-1.AH22-VAV-32.ACTCLG-SP,degreesFahrenheit
urn:uuid:310d4f25-c526-403a-80ce-13316cf195df,620,3000708,analogInput,Actual Heating Setpoint,EBU1.E1STFLR.SCORRIDOR.VAV-32.ACTHTG-SP,NAE-120/N2-1.AH22-VAV-32.ACTHTG-SP,degreesFahrenheit
urn:uuid:ed00d947-8339-4e4c-988b-2e9541dcb5e6,620,3001465,analogInput,Lab CHW Supply Temperature,EBU1.LBW.LCWS-T,NAE-120/N2-1.UNT-10.LCWS-T,degreesFahrenheit
urn:uuid:e629d980-251a-4a3d-8b45-3f30cd04544f,620,3001468,analogInput,HX-1 MTWR Temperature,EBU1.EASTPLANT.HX-1.MTWR-T,NAE-120/N2-1.UNT-110.MTWR-T,degreesFahrenheit
urn:uuid:8a0feb93-402e-4c04-95e4-92bf67e0cf4b,620,3001469,analogInput,HX-1 MTWS Temperature,EBU1.EASTPLANT.HX-1.MTWS-T,NAE-120/N2-1.UNT-110.MTWS-T,degreesFahrenheit
urn:uuid:8e472a70-736f-49e9-baf9-99f3fe8456fe,620,3001471,analogInput,MTW Return Common Temperature,EBU1.EASTPLANT.HX-1.MTWR-COM,NAE-120/N2-1.UNT-110.MTWR-COM,degreesFahrenheit
urn:uuid:536e5d4f-bf81-4f18-9641-2351b9ba4e7d,620,3001472,analogInput,Clean Room B904 Humidity,EBU1.BASEMENT.CLEANRM-B904.VAV-10.RM-H,NAE-120/N2-1.AH4-VAV-10.RM-H,percentRelativeHumidity
urn:uuid:ea39baa3-5963-441a-9abc-57a630e090a0,620,3001473,analogInput,Clean Room B904 Static Pressure,EBU1.BASEMENT.CLEANRM-B904.VAV-10.RM-SP,NAE-120/N2-1.AH4-VAV-10.RM-SP,inchesOfWater
urn:uuid:993973d5-ae65-4ea2-9afd-faf05896e23e,620,3001474,analogInput,Clean Room B904 Temperature,EBU1.BASEMENT.CLEANRM-B904.VAV-10.RM-T,NAE-120/N2-1.AH4-VAV-10.RM-T,degreesFahrenheit
urn:uuid:c962e7f4-cf63-49b3-9cb5-3dc4b17bea79,620,3001478,analogInput,Clean Room 1515A Humidity,EBU1.1STFLR.CLEANRM-1515A.VAV-25.RM-H,NAE-120/N2-1.AH7-VAV-25.RM-H,percentRelativeHumidity
urn:uuid:713e4fd6-75e8-404a-930c-1a3aaa891dac,620,3001479,analogInput,Clean Room 1515A Static Pressure,EBU1.1STFLR.CLEANRM-1515A.VAV-25.RM-SP,NAE-120/N2-1.AH7-VAV-25.RM-SP,inchesOfWater
urn:uuid:61fe77c6-23e2-4b25-9a61-a004ef06b16b,620,3001480,analogInput,Clean Room 1515A Temperature,EBU1.1STFLR.CLEANRM-1515A.VAV-25.RM-T,NAE-120/N2-1.AH7-VAV-25.RM-T,degreesFahrenheit
urn:uuid:45768743-8399-410e-83ce-cfd0b7964b36,620,3001484,analogInput,Clean Room 1708 Humidity,EBU1.1STFLR.CLEANRM-1708.VAV-27.RM-H,NAE-120/N2-1.AH22-VAV-27.RM-H,percentRelativeHumidity
urn:uuid:5b6dfca4-8ae3-4f1f-ad38-217029506ba3,620,3001485,analogInput,Clean Room 1708 Static Pressure,EBU1.1STFLR.CLEANRM-1708.VAV-27.RM-SP,NAE-120/N2-1.AH22-VAV-27.RM-SP,inchesOfWater
urn:uuid:ba3fee64-6b4f-43fd-886d-671e1ebe469a,620,3001486,analogInput,Clean Room 1708 Temperature,EBU1.1STFLR.CLEANRM-1708.VAV-27.RM-T,NAE-120/N2-1.AH22-VAV-27.RM-T,degreesFahrenheit
urn:uuid:ddf26722-6c3a-42ab-970f-70f5cc886ca0,620,3001487,analogInput,Clean Room 1706 Humidity,EBU1.1STFLR.CLEANRM-1706.VAV-28.RM-H,NAE-120/N2-1.AH7-VAV-28.RM-H,percentRelativeHumidity
urn:uuid:9d6c6448-892b-4b8f-8e45-4048bac43413,620,3001488,analogInput,Clean Room 1706 Static Pressure,EBU1.1STFLR.CLEANRM-1706.VAV-28.RM-SP,NAE-120/N2-1.AH7-VAV-28.RM-SP,inchesOfWater
urn:uuid:ce8668f3-8c3d-46e1-8859-07bbe668ca3c,620,3001489,analogInput,Clean Room 1706 Temperature,EBU1.1STFLR.CLEANRM-1706.VAV-28.RM-T,NAE-120/N2-1.AH7-VAV-28.RM-T,degreesFahrenheit
urn:uuid:3fa65d71-7db2-4e0a-8b52-058f4d4f561e,620,3001490,analogInput,Clean Room 1704 Humidity,EBU1.1STFLR.CLEANRM-1704.VAV-29.RM-H,NAE-120/N2-1.AH7-VAV-29.RM-H,percentRelativeHumidity
urn:uuid:1eb5ed0a-66dc-49c3-becf-109ef6a29bd6,620,3001491,analogInput,Clean Room 1704 Static Pressure,EBU1.1STFLR.CLEANRM-1704.VAV-29.RM-SP,NAE-120/N2-1.AH7-VAV-29.RM-SP,inchesOfWater
urn:uuid:e61fc2be-1a33-4ef9-8f13-88281361e2ca,620,3001492,analogInput,Clean Room 1704 Temperature,EBU1.1STFLR.CLEANRM-1704.VAV-29.RM-T,NAE-120/N2-1.AH7-VAV-29.RM-T,degreesFahrenheit
urn:uuid:3dcd6ee7-019b-4b8b-ad35-1074901ba916,620,3001502,analogInput,Clean Room 1707 Humidity,EBU1.1STFLR.CLEANRM-1707.VAV-32.RM-H,NAE-120/N2-1.AH22-VAV-32.RM-H,percentRelativeHumidity
