S.No,Timestamp,Zone Temperature,Warm/Cool Adjust,Supply Vol Press,Actual Cooling Setpt,Actual Heating Setpt,Actual Damper Position,Actual Supply Flow,Reheat Valve Command,Common Setpoint,Damper Command,Actual Sup Flow SP,Cooling Max Flow,Occupied Clg Min,Occupied Htg Flow,Cooling Command,Heating Command,Occupied Command,Occupied Status
0,2020-04-01 11:25:00,,,,,,,,,,,,,,,,,,
1,2020-04-01 11:30:00,,,,,,,,,,,,,,,,,,
2,2020-04-01 11:35:00,,,,,,,,,,,,,,,,,,
3,2020-04-01 11:40:00,,,,,,,,,,,,,,,,,,
4,2020-04-01 11:45:00,,,,,,,,,,,,,,,,,,
5,2020-04-01 11:50:00,,,,,,,,,,,,,,,,,,
6,2020-04-01 11:55:00,,,,,,,,,,,,,,,,,,
7,2020-04-01 12:00:00,,,,,,,,,,,,,,,,,,
8,2020-04-01 12:05:00,,,,,,,,,,,,,,,,,,
9,2020-04-01 12:10:00,,,,,,,,,,,,,,,,,,
10,2020-04-01 12:15:00,,,,,,,,,,,,,,,,,,
11,2020-04-01 12:20:00,,,,,,,,,,,,,,,,,,
12,2020-04-01 12:25:00,,,,,,,,,,,,,,,,,,
13,2020-04-01 12:30:00,,,,,,,,,,,,,,,,,,
14,2020-04-01 12:35:00,,,,,,,,,,,,,,,,,,
15,2020-04-01 12:40:00,,,,,,,,,,,,,,,,,,
16,2020-04-01 12:45:00,,,,,,,,,,,,,,,,,,
17,2020-04-01 12:50:00,,,,,,,,,,,,,,,,,,
18,2020-04-01 12:55:00,,,,,,,,,,,,,,,,,,
19,2020-04-01 13:00:00,,,,,,,,,,,,,,,,,,
20,2020-04-01 13:05:00,,,,,,,,,,,,,,,,,,
21,2020-04-01 13:10:00,,,,,,,,,,,,,,,,,,
22,2020-04-01 13:15:00,,,,,,,,,,,,,,,,,,
23,2020-04-01 13:20:00,,,,,,,,,,,,,,,,,,
24,2020-04-01 13:25:00,,,,,,,,,,,,,,,,,,
25,2020-04-01 13:30:00,,,,,,,,,,,,,,,,,,
26,2020-04-01 13:35:00,,,,,,,,,,,,,,,,,,
27,2020-04-01 13:40:00,,,,,,,,,,,,,,,,,,
28,2020-04-01 13:45:00,,,,,,,,,,,,,,,,,,
29,2020-04-01 13:50:00,,,,,,,,,,,,,,,,,,
30,2020-04-01 13:55:00,,,,,,,,,,,,,,,,,,
31,2020-04-01 14:00:00,,,,,,,,,,,,,,,,,,
32,2020-04-01 14:05:00,,,,,,,,,,,,,,,,,,
33,2020-04-01 14:10:00,,,,,,,,,,,,,,,,,,
34,2020-04-01 14:15:00,,,,,,,,,,,,,,,,,,
35,2020-04-01 14:20:00,,,,,,,,,,,,,,,,,,
36,2020-04-01 14:25:00,,,,,,,,,,,,,,,,,,
37,2020-04-01 14:30:00,,,,,,,,,,,,,,,,,,
38,2020-04-01 14:35:00,,,,,,,,,,,,,,,,,,
39,2020-04-01 14:40:00,,,,,,,,,,,,,,,,,,
40,2020-04-01 14:45:00,,,,,,,,,,,,,,,,,,
41,2020-04-01 14:50:00,,,,,,,,,,,,,,,,,,
42,2020-04-01 14:55:00,,,,,,,,,,,,,,,,,,
43,2020-04-01 15:00:00,,,,,,,,,,,,,,,,,,
44,2020-04-01 15:05:00,,,,,,,,,,,,,,,,,,
45,2020-04-01 15:10:00,,,,,,,,,,,,,,,,,,
46,2020-04-01 15:15:00,,,,,,,,,,,,,,,,,,
47,2020-04-01 15:20:00,,,,,,,,,,,,,,,,,,
48,2020-04-01 15:25:00,,,,,,,,,,,,,,,,,,
49,2020-04-01 15:30:00,,,,,,,,,,,,,,,,,,
50,2020-04-01 15:35:00,,,,,,,,,,,,,,,,,,
51,2020-04-01 15:40:00,,,,,,,,,,,,,,,,,,
52,2020-04-01 15:45:00,,,,,,,,,,,,,,,,,,
53,2020-04-01 15:50:00,,,,,,,,,,,,,,,,,,
54,2020-04-01 15:55:00,,,,,,,,,,,,,,,,,,
55,2020-04-01 16:00:00,,,,,,,,,,,,,,,,,,
56,2020-04-01 16:05:00,,,,,,,,,,,,,,,,,,
57,2020-04-01 16:10:00,,,,,,,,,,,,,,,,,,
58,2020-04-01 16:15:00,,,,,,,,,,,,,,,,,,
59,2020-04-01 16:20:00,,,,,,,,,,,,,,,,,,
60,2020-04-01 16:25:00,,,,,,,,,,,,,,,,,,
61,2020-04-01 16:30:00,,,,,,,,,,,,,,,,,,
62,2020-04-01 16:35:00,,,,,,,,,,,,,,,,,,
63,2020-04-01 16:40:00,,,,,,,,,,,,,,,,,,
64,2020-04-01 16:45:00,,,,,,,,,,,,,,,,,,
65,2020-04-01 16:50:00,,,,,,,,,,,,,,,,,,
66,2020-04-01 16:55:00,,,,,,,,,,,,,,,,,,
67,2020-04-01 17:00:00,,,,,,,,,,,,,,,,,,
68,2020-04-01 17:05:00,,,,,,,,,,,,,,,,,,
69,2020-04-01 17:10:00,,,,,,,,,,,,,,,,,,
70,2020-04-01 17:15:00,,,,,,,,,,,,,,,,,,
71,2020-04-01 17:20:00,,,,,,,,,,,,,,,,,,
72,2020-04-01 17:25:00,,,,,,,,,,,,,,,,,,
73,2020-04-01 17:30:00,,,,,,,,,,,,,,,,,,
74,2020-04-01 17:35:00,,,,,,,,,,,,,,,,,,
75,2020-04-01 17:40:00,,,,,,,,,,,,,,,,,,
76,2020-04-01 17:45:00,,,,,,,,,,,,,,,,,,
77,2020-04-01 17:50:00,,,,,,,,,,,,,,,,,,
78,2020-04-01 17:55:00,,,,,,,,,,,,,,,,,,
79,2020-04-01 18:00:00,,,,,,,,,,,,,,,,,,
80,2020-04-01 18:05:00,,,,,,,,,,,,,,,,,,
81,2020-04-01 18:10:00,,,,,,,,,,,,,,,,,,
82,2020-04-01 18:15:00,,,,,,,,,,,,,,,,,,
83,2020-04-01 18:20:00,,,,,,,,,,,,,,,,,,
84,2020-04-01 18:25:00,,,,,,,,,,,,,,,,,,
85,2020-04-01 18:30:00,,,,,,,,,,,,,,,,,,
86,2020-04-01 18:35:00,,,,,,,,,,,,,,,,,,
87,2020-04-01 18:40:00,,,,,,,,,,,,,,,,,,
88,2020-04-01 18:45:00,,,,,,,,,,,,,,,,,,
89,2020-04-01 18:50:00,,,,,,,,,,,,,,,,,,
90,2020-04-01 18:55:00,,,,,,,,,,,,,,,,,,
91,2020-04-01 19:00:00,,,,,,,,,,,,,,,,,,
92,2020-04-01 19:05:00,,,,,,,,,,,,,,,,,,
93,2020-04-01 19:10:00,,,,,,,,,,,,,,,,,,
94,2020-04-01 19:15:00,,,,,,,,,,,,,,,,,,
95,2020-04-01 19:20:00,,,,,,,,,,,,,,,,,,
96,2020-04-01 19:25:00,,,,,,,,,,,,,,,,,,
97,2020-04-01 19:30:00,,,,,,,,,,,,,,,,,,
98,2020-04-01 19:35:00,,,,,,,,,,,,,,,,,,
